"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts"
"EDINBURGH IN",-85.96690369,39.35437775,3,0,2,1
"EDISTO BEACH SC",-80.33158112,32.48329544,1,0,0,1
"EDMOND OK",-97.48453522,35.65326309,323,96,108,119
"EDMONDS WA",-122.3799057,47.81037521,402,107,100,195
"EDNA TX",-96.64674377,28.97920609,11,4,6,1
"EDWARDSVILLE IL",-89.95322418,38.8115654,731,216,187,328
"EFFINGHAM IL",-88.54359436,39.12008667,20,7,5,8
"EL CAJON CA",-116.9467392,32.83002472,8,1,7,0
"EL CENTRO CA",-115.5646057,32.79199982,15,4,3,8
"EL CERRITO CA",-122.3142548,37.91544342,234,83,50,101
"EL DORADO AR",-92.66680908,33.20800018,6,1,3,2
"EL DORADO KS",-96.86262512,37.81741714,4,2,1,1
"EL LAGO TX",-95.04547119,29.56394196,57,21,18,18
"EL MIRAGE AZ",-112.3263016,33.61337662,4,1,1,2
"EL MONTE CA",-118.0298996,34.06880569,87,21,22,44
"EL PASO TX",-106.4620514,31.78388405,958,272,243,443
"EL RENO OK",-97.95549011,35.53218842,14,3,3,8
"EL SEGUNDO CA",-118.4185257,33.91943741,39,10,11,18
"ELAINE AR",-90.85227966,34.30869293,3,0,1,2
"ELBA AL",-86.06761169,31.41489601,5,0,2,3
"ELBERTON GA",-82.86587524,34.11487579,3,0,2,1
"ELDON MO",-92.58213806,38.34849548,7,0,1,6
"ELDORADO IL",-88.43813324,37.8138237,1,0,1,0
"ELDRIDGE IA",-90.5848465,41.65792465,2,0,1,1
"ELGIN IL",-88.28123474,42.03733444,54,19,13,22
"ELGIN MN",-92.25218964,44.13041306,1,0,1,0
"ELGIN SC",-80.79399872,34.17118073,36,6,20,10
"ELGIN TX",-97.37094879,30.34980202,4,1,0,3
"ELIDA OH",-84.20368195,40.78894424,1,0,0,1
"ELIOT ME",-70.79924774,43.15354538,1,0,1,0
"ELIZABETH CITY NC",-76.22274017,36.3025322,36,12,14,10
"ELIZABETH CO",-104.5973434,39.36034393,2,1,1,0
"ELIZABETH NJ",-74.21881866,40.66823578,63,12,19,32
"ELIZABETH PA",-79.88930511,40.26922607,1,1,0,0
"ELIZABETHTON TN",-82.21013641,36.34902954,33,12,8,13
"ELIZABETHTOWN KY",-85.85932159,37.69418716,27,5,12,10
"ELIZABETHTOWN NC",-78.60453796,34.629673,2,0,1,1
"ELIZABETHTOWN PA",-76.60209656,40.15314865,37,8,12,17
"ELK GROVE CA",-121.3743591,38.40848923,1487,426,427,634
"ELK GROVE VILLAGE IL",-87.97052765,42.00406647,2,0,1,1
"ELK POINT SD",-96.68419647,42.68325424,11,1,5,5
"ELK RAPIDS MI",-85.41677856,44.89548111,1,0,0,1
"ELK RIVER MN",-93.56745911,45.30422974,3,1,0,2
"ELKHART IN",-85.97689056,41.68212128,61,17,20,24
"ELKHART TX",-95.58008575,31.62545013,1,1,0,0
"ELKHORN WI",-88.54447174,42.67270279,2,1,1,0
"ELKIN NC",-80.8482132,36.24475098,8,2,2,4
"ELKINS WV",-79.85980225,38.92602921,5,2,1,2
"ELKO NV",-115.7643967,40.83226395,37,6,13,18
"ELKTON MD",-75.83261108,39.60694122,6,2,2,2
"ELKTON VA",-78.6230011,38.40836716,1,0,1,0
"ELLAVILLE GA",-84.30872345,32.23843384,1,0,0,1
"ELLENSBURG WA",-120.5507507,46.99611664,55,14,15,26
"ELLETTSVILLE IN",-86.62473297,39.23396301,9,4,2,3
"ELLIJAY GA",-84.48228455,34.69475937,2,1,0,1
"ELLSWORTH ME",-68.41850281,44.54365921,1,0,0,1
"ELLWOOD CITY PA",-80.28616333,40.86182404,1,0,0,1
"ELM GROVE WI",-88.07917786,43.04312515,1,1,0,0
"ELMHURST IL",-87.9407196,41.89970398,45,12,12,21
"ELMIRA NY",-76.80737305,42.08998108,100,22,39,39
"ELMORE AL",-86.31501007,32.53902054,3,0,1,2
"ELMWOOD IL",-89.96702576,40.77780151,6,4,1,1
"ELMWOOD PARK IL",-87.80945587,41.92121506,2,1,0,1
"ELMWOOD PARK NJ",-74.1175766,40.90429306,18,2,5,11
"ELOY AZ",-111.5559692,32.75610733,2,0,1,1
"ELSA TX",-97.99377441,26.29435349,3,0,1,2
"ELSBERRY MO",-90.78118896,39.16703796,6,1,3,2
"ELWOOD IN",-85.84185791,40.27725983,1,0,0,1
"ELY IA",-91.58531189,41.87372589,4,1,2,1
"ELY NV",-114.8907013,39.24752045,1,0,0,1
"ELYRIA OH",-82.10734558,41.36825562,108,31,35,42
"EMERSON NJ",-74.02526855,40.97657013,1,0,0,1
"EMERYVILLE CA",-122.2871475,37.83127975,13,3,5,5
"EMMAUS PA",-75.49610138,40.53958893,37,15,14,8
"EMPORIA KS",-96.18218994,38.40393448,13,4,1,8
"EMPORIA VA",-77.54174805,36.68619919,2,0,1,1
"ENCINAL TX",-99.35529327,28.04174042,1,0,0,1
"ENCINITAS CA",-117.2937012,33.0371666,45,10,14,21
"ENDICOTT NY",-76.04867554,42.09862137,2,0,0,2
"ENFIELD NH",-72.14303589,43.65077209,1,1,0,0
"ENGLAND AR",-91.96916962,34.54467392,2,0,0,2
"ENGLEWOOD CO",-104.9884491,39.6479187,44,16,14,14
"ENGLEWOOD NJ",-73.97172546,40.8928833,50,13,14,23
"ENGLEWOOD OH",-84.30197144,39.87775803,1,0,1,0
"ENGLISHTOWN NJ",-74.35713196,40.29751205,3,0,2,1
"ENID OK",-97.87895203,36.39573288,9,3,4,2
"ENNIS TX",-96.6258316,32.32971191,3,1,1,1
"ENTERPRISE AL",-85.85494995,31.31528282,14,3,3,8
"ENTERPRISE MS",-88.82051849,32.17414474,1,1,0,0
"ENUMCLAW WA",-121.9936066,47.20384598,4,1,0,3
"EPHRAIM UT",-111.5881271,39.35956573,2,0,0,2
"EPHRAIM WI",-87.16837311,45.15630341,3,0,2,1
"EPHRATA PA",-76.17801666,40.17980194,4,1,2,1
"EPPING NH",-71.08043671,43.03881454,1,0,0,1
"ERIE CO",-105.0506516,40.0500946,4,0,2,2
"ERIE PA",-80.08492279,42.12926483,367,99,83,185
"ERLANGER KY",-84.60089111,39.01673508,10,4,0,6
"ERWIN TN",-82.41162109,36.15189362,10,1,3,6
"ESCANABA MI",-87.06468964,45.74517822,9,1,3,5
"ESCONDIDO CA",-117.0886231,33.11952591,52,15,19,18
"ESSEX JUNCTION VT",-73.11017609,44.49057007,17,6,7,4
"ESSEX MA",-70.78186798,42.63206863,1,1,0,0
"ESSEXVILLE MI",-83.84166718,43.61558151,3,0,3,0
"ESTACADA OR",-122.3353424,45.28915405,2,1,1,0
"ESTERO FL",-81.80654144,26.43899536,14,5,3,6
"ESTES PARK CO",-105.5249558,40.37337112,23,9,6,8
"ESTHERVILLE IA",-94.83354187,43.40145493,1,0,0,1
"ESTILL SPRINGS TN",-86.12779999,35.27093887,2,0,1,1
"ETNA PA",-79.94859314,40.50443268,1,0,0,1
"EUCLID OH",-81.52645111,41.59303284,11,3,3,5
"EUDORA KS",-95.09897614,38.943367,1,1,0,0
"EUFAULA AL",-85.1452179,31.89162636,2,0,1,1
"EUGENE OR",-123.0898361,44.05194855,1588,458,445,685
"EULESS TX",-97.08273315,32.83728409,98,22,24,52
"EUNICE LA",-92.41770172,30.49472046,8,4,2,2
"EUPORA MS",-89.26713562,33.54109192,1,1,0,0
"EUREKA CA",-124.1653366,40.80156708,37,13,12,12
"EUREKA MO",-90.62799835,38.50252533,29,7,8,14
"EUREKA MT",-115.0545731,48.88105392,1,0,0,1
"EUREKA SPRINGS AR",-93.73842621,36.40146255,3,1,2,0
"EUSTIS FL",-81.68483734,28.85318184,5,1,1,3
"EUTAW AL",-87.88775635,32.84085083,8,1,3,4
"EVANS CITY PA",-80.06215668,40.76942062,1,0,0,1
"EVANS CO",-104.6938095,40.37656403,10,4,3,3
"EVANSTON IL",-87.69037628,42.04132843,389,103,107,179
"EVANSTON WY",-110.9652634,41.26803589,53,16,21,16
"EVANSVILLE IN",-87.56850433,37.97795486,389,106,100,183
"EVART MI",-85.25918579,43.90063477,3,0,2,1
"EVERETT MA",-71.05252075,42.40878296,104,27,34,43
"EVERETT WA",-122.2045441,47.97843552,214,46,68,100
"EVERGREEN PARK IL",-87.70169067,41.72086334,7,1,3,3
"EVERMAN TX",-97.28966522,32.63102341,3,0,0,3
"EVERTON MO",-93.70294189,37.34272385,1,1,0,0
"EWING MO",-91.70560455,40.00642395,1,0,1,0
"EXCELSIOR SPRINGS MO",-94.22633362,39.33908463,6,2,1,3
"EXETER CA",-119.1437607,36.29608917,5,0,5,0
"EXETER NH",-70.95800781,42.98471451,45,19,9,17
"FABIUS NY",-75.98513794,42.83499908,1,0,0,1
"FAIR GROVE MO",-93.15155792,37.38409424,3,0,1,2
"FAIR HAVEN NJ",-74.03659821,40.35977936,152,43,39,70
"FAIR LAWN NJ",-74.13076019,40.94062424,2,0,1,1
"FAIRBANKS AK",-147.7185669,64.83367157,121,29,43,49
"FAIRBORN OH",-84.01902771,39.82121658,21,5,9,7
"FAIRBURN GA",-84.58108521,33.56713867,5,0,1,4
"FAIRCHILD WI",-90.96333313,44.60019302,1,1,0,0
"FAIRFAX CA",-122.5909805,37.98677063,5,1,3,1
"FAIRFAX MO",-95.39389038,40.3384285,3,0,1,2
"FAIRFAX VA",-77.30588531,38.84661865,504,139,160,205
"FAIRFIELD AL",-86.91445923,33.49562073,1,0,0,1
"FAIRFIELD CA",-122.0420914,38.24917603,77,25,19,33
"FAIRFIELD CT",-73.26300049,41.14122772,19,5,8,6
"FAIRFIELD IA",-91.96311188,41.00863266,13,2,4,7
"FAIRFIELD OH",-84.56064606,39.34600449,19,5,3,11
"FAIRFIELD PA",-77.36804962,39.78766632,1,1,0,0
"FAIRFIELD TX",-96.16577911,31.72510147,1,0,0,1
"FAIRHAVEN MA",-70.902565,41.63794327,9,3,0,6
"FAIRHOPE AL",-87.90351105,30.52334213,4,1,1,2
"FAIRMONT CITY IL",-90.09365845,38.65008545,20,5,4,11
"FAIRMONT WV",-80.14244843,39.48347473,20,7,3,10
"FAIRMOUNT GA",-84.69966888,34.43648911,7,2,1,4
"FAIRVIEW NJ",-74.2984898866667,40.3536287933333,1,1,0,0
"FAIRVIEW PA",-80.25499725,42.03170013,7,1,2,4
"FAIRVIEW PARK OH",-81.86431885,41.44171524,7,1,3,3
"FAIRVIEW TN",-87.12164307,35.98221207,1,0,0,1
"FAIRVIEW TX",-101.5199509,32.35611343,1,0,1,0
"FALFURRIAS TX",-98.14491272,27.2275238,2,0,1,1
"FALKVILLE AL",-86.90859222,34.36846542,1,0,0,1
"FALL CREEK WI",-91.27741241,44.76337814,1,0,1,0
"FALL RIVER MA",-71.15414429,41.70151138,38,10,14,14
"FALLON NV",-118.7788696,39.47320557,15,3,5,7
"FALLS CHURCH VA",-77.17056274,38.88268661,124,40,28,56
"FALLS CITY TX",-98.01808167,28.98327637,1,1,0,0
"FALMOUTH MA",-70.61294556,41.56003571,7,0,2,5
"FARGO ND",-96.79805756,46.87498474,375,100,118,157
"FARIBAULT MN",-93.26953125,44.29466248,13,4,2,7
"FARMERS BRANCH TX",-96.89679718,32.92665482,17,5,6,6
"FARMINGDALE NY",-73.44436646,40.73298645,10,3,2,5
"FARMINGTON HILLS MI",-83.3771286,42.48558807,111,37,33,41
"FARMINGTON IL",-90.00591278,40.69827271,1,0,0,1
"FARMINGTON MI",-83.37620544,42.46465302,36,9,7,20
"FARMINGTON MN",-93.14386749,44.64002991,9,2,2,5
"FARMINGTON MO",-90.4220047,37.78110504,40,12,6,22
"FARMINGTON NH",-71.07139587,43.38951111,10,5,3,2
"FARMINGTON NM",-108.2051544,36.73355865,19,1,8,10
"FARMINGTON UT",-111.8891068,40.98031616,2,1,1,0
"FARMVILLE NC",-77.41796112,35.59592056,1,0,0,1
"FARMVILLE VA",-78.39121246,37.30234909,17,5,2,10
"FAYETTE MO",-92.68386078,39.14609146,12,6,2,4
"FAYETTE MS",-91.06066895,31.71204758,1,1,0,0
"FAYETTEVILLE AR",-94.15759277,36.06256104,418,118,109,191
"FAYETTEVILLE GA",-84.45489502,33.44916916,20,4,6,10
"FAYETTEVILLE NC",-78.87771606,35.05313873,485,112,120,253
"FAYETTEVILLE NY",-76.0059433,43.02997971,29,10,7,12
"FAYETTEVILLE TN",-86.57073212,35.15206146,20,5,4,11
"FAYETTEVILLE TX",-96.67340851,29.90643501,2,1,0,1
"FAYETTEVILLE WV",-81.10643005,38.05362701,1,1,0,0
"FEDERAL HEIGHTS CO",-104.9993591,39.85155487,1,0,0,1
"FEDERAL WAY WA",-122.314415,47.32177734,232,76,56,100
"FEDERALSBURG MD",-75.77262115,38.69446945,5,2,1,2
"FELLSMERE FL",-80.59937286,27.77430344,1,1,0,0
"FELTON DE",-75.57888031,39.00894928,1,0,0,1
"FENTON MI",-83.70490265,42.79768372,29,4,8,17
"FENTON MO",-90.43593597,38.51305771,457,123,130,204
"FERGUS FALLS MN",-96.07798004,46.28308868,1,0,0,1
"FERGUSON MO",-90.306633,38.74429321,941,308,237,396
"FERNANDINA BEACH FL",-81.46240234,30.66996193,12,3,4,5
"FERNDALE MI",-83.13441467,42.46089172,241,58,60,123
"FERNDALE WA",-122.5937119,48.84636688,13,4,5,4
"FERNLEY NV",-119.2542114,39.60798645,2,0,1,1
"FERRIDAY LA",-91.55467224,31.63029099,2,0,1,1
"FESTUS MO",-90.39609528,38.22088623,45,15,9,21
"FILLMORE CA",-118.919754,34.39930344,6,2,0,4
"FINDLAY OH",-83.64990997,41.04424286,23,6,7,10
"FINLEYVILLE PA",-80.00263977,40.25251389,1,0,1,0
"FIREBAUGH CA",-120.4577408,36.85879517,3,0,0,3
"FISHERS IN",-86.0140152,39.95565414,132,38,34,60
"FITCHBURG MA",-71.79621124,42.58549881,15,3,4,8
"FITCHBURG WI",-89.47031403,42.96075439,10,3,2,5
"FITZGERALD GA",-83.25261688,31.71505928,4,2,0,2
"FLAGLER BEACH FL",-81.12680054,29.47527695,66,17,20,29
"FLAGSTAFF AZ",-111.6533051,35.19802475,269,73,70,126
"FLAT ROCK MI",-83.29182434,42.09670639,3,0,0,3
"FLATWOODS KY",-82.71713257,38.52272797,10,1,3,6
"FLATWOODS WV",-80.64941406,38.7231369,6,2,2,2
"FLEMINGTON NJ",-74.85857391,40.51246643,3,0,1,2
"FLETCHER NC",-82.501091,35.43087387,1,0,1,0
"FLINT MI",-83.68744659,43.01246643,701,176,186,339
"FLORAL PARK NY",-73.70424652,40.72377777,6,1,2,3
"FLORENCE AL",-87.67726898,34.7997818,135,27,40,68
"FLORENCE AZ",-111.3891525,33.0316925,3,1,1,1
"FLORENCE CO",-105.119751,38.39019012,82,29,18,35
"FLORENCE KY",-84.62657166,38.99923706,25,6,7,12
"FLORENCE NJ",-74.80489349,40.11992264,2,0,0,2
"FLORENCE OR",-124.1027145,43.98227692,5,2,2,1
"FLORENCE SC",-79.76351166,34.19935226,143,36,37,70
"FLORESVILLE TX",-98.15641022,29.13393784,7,2,3,2
"FLORHAM PARK NJ",-74.38710785,40.7882309,1,0,1,0
"FLORIDA CITY FL",-80.47893524,25.44846153,10,2,3,5
"FLORISSANT MO",-90.32299042,38.78946304,982,357,203,422
"FLOSSMOOR IL",-87.68474579,41.54309845,12,3,3,6
"FLOYD VA",-80.31944275,36.91149902,65,19,24,22
"FLUSHING MI",-83.85099792,43.06319427,28,7,5,16
"FOLEY AL",-87.68378448,30.40701675,4,2,1,1
"FOND DU LAC WI",-88.44734955,43.77285004,119,29,34,56
"FONTANA CA",-117.4363785,34.09202576,58,14,20,24
"FORDYCE AR",-92.41331482,33.81410217,1,0,0,1
"FOREST CITY IA",-93.63772583,43.26252365,3,1,1,1
"FOREST CITY NC",-81.86473083,35.33415604,2,0,0,2
"FOREST GROVE OR",-123.1123581,45.51952362,32,6,10,16
"FOREST HILL TX",-97.26972198,32.67246246,3,1,2,0
"FOREST HILLS PA",-79.84965515,40.42011642,2,1,0,1
"FOREST LAKE MN",-92.98565674,45.27859497,2,1,0,1
"FOREST MS",-89.47438812,32.36502075,1,1,0,0
"FOREST PARK GA",-84.36103058,33.62044144,3,0,0,3
"FOREST PARK IL",-87.81355286,41.87948608,8,2,5,1
"FOREST PARK OH",-84.50376892,39.2902565,10,1,4,5
"FORKS WA",-124.3879929,47.94977951,3,1,1,1
"FORNEY TX",-96.47270966,32.74848175,26,5,10,11
"FORREST CITY AR",-90.79021454,35.00848389,7,4,2,1
"FORSYTH GA",-83.93824768,33.03457642,2,0,1,1
"FORSYTH MO",-93.120224,36.68517685,5,1,2,2
"FORT ATKINSON WI",-88.83695984,42.92907715,13,1,3,9
"FORT COLLINS CO",-105.0858688,40.58546066,964,269,266,429
"FORT DODGE IA",-94.18049622,42.50019073,7,3,2,2
"FORT GIBSON OK",-95.25126648,35.79767609,1,1,0,0
"FORT KENT ME",-68.58863831,47.25884247,1,0,0,1
"FORT LAUDERDALE FL",-80.14283752,26.12309074,1490,393,402,695
"FORT LEE NJ",-73.96900177,40.85113907,10,1,2,7
"FORT LUPTON CO",-104.8086929,40.07614517,21,7,10,4
"FORT MILL SC",-80.94496155,35.00762558,60,25,13,22
"FORT MITCHELL KY",-84.54763031,39.05939865,7,2,2,3
"FORT MORGAN CO",-103.8019714,40.24989319,1,0,1,0
"FORT MYERS FL",-81.87184143,26.64133644,261,68,83,110
"FORT PAYNE AL",-85.71984863,34.44424438,5,1,2,2
"FORT PIERCE FL",-80.32531738,27.44716644,20,7,7,6
"FORT SCOTT KS",-94.70889282,37.83989716,6,2,2,2
"FORT SMITH AR",-94.39919281,35.3862114,89,28,28,33
"FORT STOCKTON TX",-102.8801041,30.89455986,3,1,1,1
"FORT VALLEY GA",-83.88742828,32.5541687,14,0,9,5
"FORT WALTON BEACH FL",-86.61834717,30.40767479,52,16,12,24
"FORT WAYNE IN",-85.13967896,41.07278061,579,154,150,275
"FORT WHITE FL",-82.71363068,29.92387581,1,1,0,0
"FORT WORTH TX",-97.32135773,32.72562027,3106,826,826,1454
"FORT YATES ND",-100.6290817,46.09021378,2,0,1,1
"FOSTER CITY CA",-122.2733917,37.55817413,11,2,1,8
"FOUKE AR",-93.88582611,33.26132202,2,0,2,0
"FOUNTAIN CO",-104.7017517,38.68201065,5,2,0,3
"FOUNTAIN INN SC",-82.20529175,34.69663239,7,1,4,2
"FOUNTAIN VALLEY CA",-117.9555054,33.70910645,3,1,0,2
"FOWLERVILLE MI",-84.07279205,42.66091537,1,1,0,0
"FRAMINGHAM MA",-71.41543579,42.27958298,37,10,8,19
"FRANKENMUTH MI",-83.73799896,43.33162689,2,1,0,1
"FRANKFORT IL",-87.8484726,41.49582291,4,1,0,3
"FRANKFORT KY",-84.87322235,38.20124054,126,44,28,54
"FRANKLIN IN",-86.05474854,39.48073578,14,5,2,7
"FRANKLIN KY",-86.57696533,36.72238159,17,7,4,6
"FRANKLIN LA",-91.50192261,29.79652786,16,3,6,7
"FRANKLIN MI",-83.30574799,42.52250671,1,0,1,0
"FRANKLIN NC",-83.38106537,35.17907715,3,1,1,1
"FRANKLIN NH",-71.64609528,43.44426346,1,0,1,0
"FRANKLIN NJ",-74.57991791,41.12214279,2,1,0,1
"FRANKLIN OH",-84.30413055,39.55898666,1,1,0,0
"FRANKLIN TN",-86.87760162,35.92164993,101,26,26,49
"FRANKLIN WI",-89.581264495,43.550542835,2,0,2,0
"FRANKLINTON LA",-90.15345764,30.84731102,1,0,0,1
"FRANKTON IN",-85.77852631,40.2229538,2,0,1,1
"FRASER CO",-105.8187408,39.94474792,1,0,0,1
"FRASER MI",-82.94940948,42.53918457,3,1,1,1
"FREDERICK MD",-77.40981293,39.41444397,297,86,88,123
"FREDERICKSBURG TX",-98.87243652,30.27570152,7,2,2,3
"FREDERICKSBURG VA",-77.45996094,38.30348969,114,24,37,53
"FREDERICKTOWN MO",-90.29403687,37.5598793,17,8,6,3
"FREDONIA NY",-79.33128357,42.4403038,14,4,7,3
"FREDONIA WI",-87.95108032,43.47070694,1,0,1,0
"FREEBURG IL",-89.91384888,38.42782593,3,1,1,1
"FREEDOM PA",-80.25327301,40.68782806,4,0,2,2
"FREEHOLD NJ",-74.27283478,40.26020432,12,2,2,8
"FREEPORT FL",-86.13587189,30.49859619,7,3,2,2
"FREEPORT IL",-89.62126923,42.29691696,83,19,22,42
"FREEPORT NY",-73.58229065,40.65803146,22,6,7,9
"FREEPORT TX",-95.35985565,28.95484543,13,2,2,9
"FREMONT CA",-121.9740372,37.55101776,379,116,62,201
"FREMONT IN",-84.93248749,41.73084641,1,1,0,0
"FREMONT NE",-96.49893188,41.43340683,4,1,2,1
"FREMONT OH",-83.12195587,41.35057831,19,3,9,7
"FRENCHTOWN NJ",-75.06065369,40.52624512,1,1,0,0
"FRESNO CA",-119.7739868,36.74755478,1144,285,311,548
"FRIARS POINT MS",-90.63935089,34.36989975,1,0,0,1
"FRIDAY HARBOR WA",-123.0112152,48.53361893,1,0,1,0
"FRIDLEY MN",-93.2636261,45.08617401,67,19,21,27
"FRIENDSHIP WI",-89.81681061,43.97062302,1,1,0,0
"FRIENDSWOOD TX",-95.20127106,29.53010368,21,4,6,11
"FRISCO CO",-106.0990143,39.57444763,17,6,6,5
"FRISCO TX",-96.82434082,33.15098572,254,80,72,102
"FRITCH TX",-101.6041031,35.63983154,2,1,0,1
"FRONT ROYAL VA",-78.19395447,38.91853714,21,9,9,3
"FRONTENAC MO",-90.41536713,38.63556671,1,0,0,1
"FROSTBURG MD",-78.92780304,39.65832138,10,1,2,7
"FRUITA CO",-108.7299423,39.15882111,2,1,1,0
"FRUITLAND PARK FL",-81.90615082,28.8618412,1,0,0,1
"FRUITPORT MI",-86.154953,43.13179398,1,0,1,0
"FULLERTON CA",-117.9268646,33.87014771,224,54,59,111
"FULSHEAR TX",-95.90010071,29.69036102,1,1,0,0
"FULTON MO",-91.94814301,38.84679031,6,0,2,4
"FULTON NY",-76.41664124,43.32299042,1,0,0,1
"FULTS IL",-90.21621704,38.16628647,1,0,1,0
"GADSDEN AL",-86.00675201,34.01457596,64,11,19,34
"GAFFNEY SC",-81.64937592,35.07206345,38,16,10,12
"GAHANNA OH",-82.87860107,40.02072525,5,2,3,0
"GAINESVILLE FL",-82.32462311,29.65203285,1054,287,303,464
"GAINESVILLE GA",-83.82389832,34.29787827,150,36,56,58
"GAINESVILLE TX",-97.13391113,33.62611008,3,1,2,0
"GAITHERSBURG MD",-77.20072174,39.14352417,166,41,55,70
"GALAX VA",-80.92372894,36.66142654,1,0,0,1
"GALESBURG IL",-90.37152863,40.9480629,129,39,27,63
"GALETON PA",-77.64122772,41.733181,1,0,0,1
"GALLATIN TN",-86.44691467,36.38848495,30,6,7,17
"GALLUP NM",-108.7434387,35.52494812,3,0,1,2
"GALT CA",-121.3024445,38.25453568,4,1,1,2
"GALVESTON IN",-86.19012451,40.57881165,5,2,0,3
"GALVESTON TX",-94.79576111,29.30070114,113,23,33,57
"GARDEN CITY ID",-116.2400971,43.62173462,7,2,3,2
"GARDEN CITY KS",-100.8735352,37.97177505,6,1,3,2
"GARDEN CITY MI",-83.33091736,42.32582092,4,1,2,1
"GARDEN CITY MO",-94.19150543,38.56124496,11,2,1,8
"GARDEN CITY NY",-73.63320923,40.72684097,7,1,2,4
"GARDEN GROVE CA",-117.943718,33.77397156,140,42,37,61
"GARDEN PLAIN KS",-97.68421173,37.65839767,1,1,0,0
"GARDENA CA",-118.3105164,33.88837814,66,17,27,22
"GARDENDALE AL",-86.81273651,33.66012192,1,0,0,1
"GARDINER ME",-69.77404785,44.23034286,12,0,4,8
"GARDNER KS",-94.92789459,38.81066132,60,14,18,28
"GARDNER MA",-71.99727631,42.57534027,6,1,3,2
"GARFIELD NJ",-74.11222839,40.88159561,3,1,1,1
"GARLAND TX",-96.63926697,32.91297531,132,33,43,56
"GARNER NC",-78.61359406,35.71166992,48,10,19,19
"GARRETT IN",-85.13555908,41.3495636,34,5,10,19
"GARY IN",-87.33873749,41.59325409,166,55,45,66
"GAS CITY IN",-85.61326599,40.48720932,3,0,0,3
"GASSAWAY WV",-80.77455902,38.67528152,1,0,1,0
"GASTON OR",-123.141571,45.43574142,6,3,2,1
"GASTON SC",-81.10059357,33.8172226,8,1,4,3
"GASTONIA NC",-81.18706512,35.26216507,118,35,29,54
"GATES MILLS OH",-81.40299225,41.51760483,3,1,2,0
"GATESVILLE TX",-97.74459839,31.43569565,8,3,4,1
"GATLINBURG TN",-83.50972748,35.71463394,1,0,0,1
"GAUTIER MS",-88.628479,30.38991356,2,1,0,1
"GAYLORD MI",-84.67483521,45.02762222,30,5,16,9
"GENESEE WI",-88.35901642,42.9526329,1,0,0,1
"GENESEO IL",-90.15467072,41.44804764,1,0,0,1
"GENESEO NY",-77.81667328,42.79621887,3,0,1,2
"GENEVA IL",-88.30541992,41.8876915,40,12,11,17
"GENEVA NY",-76.97723389,42.86890793,19,7,5,7
"GENEVA OH",-80.94763184,41.80530167,3,0,2,1
"GENOA CITY WI",-88.32978821,42.49824905,14,6,2,6
"GENOA IL",-88.6933136,42.09733582,3,1,2,0
"GENOA NE",-97.73149109,41.44846344,1,0,0,1
"GEORGETOWN CO",-105.6985626,39.70604706,4,1,0,3
"GEORGETOWN KY",-84.55860138,38.21012115,26,2,10,14
"GEORGETOWN LA",-92.38475037,31.76140976,1,0,0,1
"GEORGETOWN OH",-83.90393066,38.86468124,1,0,0,1
"GEORGETOWN SC",-79.28886414,33.37522888,3,1,1,1
"GEORGETOWN TX",-97.67801666,30.6329689,83,19,32,32
"GERMANTOWN OH",-84.36915588,39.62649536,1,0,0,1
"GERMANTOWN TN",-89.80731201,35.08958817,13,2,5,6
"GERMANTOWN WI",-88.1105423,43.22859573,17,2,6,9
"GETTYSBURG PA",-77.23023224,39.83097076,45,11,17,17
"GETTYSBURG SD",-99.95274353,45.01167679,1,0,0,1
"GIBSONBURG OH",-83.32060242,41.38440323,1,0,1,0
"GIDDINGS TX",-96.93708801,30.18294907,3,2,0,1
"GIG HARBOR WA",-122.590683,47.32983398,167,49,61,57
"GILBERT AZ",-111.7899933,33.35302353,198,57,59,82
"GILBERT WV",-81.86518097,37.61510086,3,1,1,1
"GILLESPIE IL",-89.81998444,39.12971115,4,4,0,0
"GILROY CA",-121.570343,37.00583267,20,6,1,13
"GIRARD IL",-89.78087616,39.44666672,3,0,1,2
"GIRARD KS",-94.83834076,37.51137161,1,0,0,1
"GIRARD OH",-80.70133209,41.15385056,1,0,1,0
"GIRARD PA",-80.31739044,42.00037003,2,0,0,2
"GLADSTONE MO",-94.55509186,39.20398331,97,32,20,45
"GLADSTONE OR",-122.597435,45.38039398,5,1,2,2
"GLADWIN MI",-84.48670959,43.98090744,1,1,0,0
"GLASGOW KY",-85.91189575,36.99584961,114,23,45,46
"GLASGOW MO",-92.84679413,39.22732925,1,0,1,0
"GLASSBORO NJ",-75.11103058,39.70306778,83,27,16,40
"GLASSPORT PA",-79.89176941,40.32497025,4,1,2,1
"GLEASON TN",-88.61263275,36.21385193,1,0,1,0
"GLEN ALPINE NC",-81.77864838,35.729496,3,2,0,1
"GLEN COVE NY",-73.63267517,40.86247635,1,0,0,1
"GLEN ELLYN IL",-88.06699371,41.87755585,4,2,1,1
"GLEN ROCK NJ",-74.13186646,40.96286011,2,0,0,2
"GLEN ROCK PA",-76.7299118,39.79356384,6,1,0,5
"GLEN ROSE TX",-97.7556839,32.23469162,2,2,0,0
"GLENCOE IL",-87.75849152,42.13492203,2,0,1,1
"GLENCOE MN",-94.15203094,44.76893234,15,3,8,4
"GLENDALE AZ",-112.1871796,33.5386467,122,29,47,46
"GLENDALE CA",-118.2566681,34.1423645,605,156,144,305
